Deforestation (1000 Hectares/Year),,,,,,,,,,
,Total,Total,Total,Total,Human Caused,Human Caused,Human Caused,Human Caused,,
Country/Territory,1990,2000,2005,2010,1990,2000,2005,2010,Tier Status,Tier Trend
Algeria,11.6,18,11,18,,,,,3,2
Argentina,,235,336,301,,235,336,301,2,2
Australia,434,326,770,662,,,,,2,2
Austria,7,4.6,6,6,3.2,2.5,3.7,3.7,3,3
Bahrain,0,0,0,0,0,0,0,0,1,1
Bangladesh,,2.6,2.6,2.6,,,,,1,1
Belgium,,,,1.5,,,,1.5,3,3
Bolivia (Plurinational State of),270,270,281,289,270,270,281,289,1,1
Brazil,3026,3277,3407,1775,,,,,2,1
Brunei Darussalam,,16,8,9,,,,,1,1
Burkina Faso,,110.5,,,,110.5,,,1,
Canada,65,48,56,48,65,48,56,48,3,3
China,,,,62.1,,,,62.1,1,1
Colombia,279.8,315,238.3,148,,,,,2,2
Cook Islands,0,0,0,0,0,0,0,0,1,1
Denmark,0,0,1,1,0,0,1,1,1,1
Dominican Republic,,,,,14.1,6.6,6.3,6.2,2,2
Ecuador,,92.8,83.4,74,,92.8,83.4,74,3,3
Equatorial Guinea,0,0,0,0,117,58.5,58.5,58.5,1,1
Estonia,0.2,0.4,1.7,1.6,0.2,0.4,1.7,1.6,3,3
Falkland Islands (Malvinas)**,0,0,0,0,0,0,0,0,1,1
Faroe Islands,0,0,0,0,,,,,1,1
Finland,17,8,16,22,17,8,16,22,3,3
France,13.8,,,,,,,,2,
French Guiana,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,3,3
French Polynesia,0,0,0,0,,,,,1,1
Georgia,,0,0,0,,0,0,0,2,2
Germany,7,4,6,6,7,4,6,6,3,3
Gibraltar,0,0,0,0,0,0,0,0,1,1
Greenland,0,0,0,0,0,0,0,0,1,1
Guadeloupe,3.9,3.9,0.9,0.9,,,,,2,2
Guatemala,,73,48,38,,73,48,38,2,2
Guernsey,0,0,0,0,0,0,0,0,1,1
Guyana,,,,,4,4,4,10,3,3
Holy See,0,0,0,0,0,0,0,0,1,1
Hungary,0.3,0.5,0.5,0.4,0.3,0.5,0.5,0.4,3,3
Iceland,,,r,r,,,r,r,3,3
Indonesia,1.9,3.5,1.2,0.5,,,,,2,2
Iran (Islamic Republic of),,,2.8,13.7,,,2.8,13.7,1,1
Ireland,,,1,1.6,,,1,1.6,3,1
Isle of Man,0,0,0,0,0,0,0,0,1,1
Italy,,,,3.7,,,,3.7,3,1
Jamaica,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2
Jersey,0,0,0,0,0,0,0,0,1,1
Kenya,,112.4,,,,112.4,,,2,2
Lao People’s Democratic Republic,21.9,35.3,75.2,75.2,,,,,3,1
Latvia,,,0.4,0.3,,,0.4,0.3,3,2
Liberia,0,0.2,0,0.2,,,,,1,1
Liechtenstein,0,0,0,0,0,0,0,0,1,1
Lithuania,,0,0.1,r,,0,0.1,r,3,3
Madagascar,,,,,,67,37,57,1,1
Malawi,,,,,,,,17.9,2,1
Malaysia,,,,,,,,4.2,1,1
Maldives,0,0,0,0,,,,,1,1
Mali,84,109,144,146,84,109,144,146,1,1
Malta,0,0,0,0,0,0,0,0,1,1
Mauritania,,9.8,10,3.5,,9.8,10,3.5,1,1
Mauritius,0,0.1,r,r,0,0.1,r,r,1,1
Mexico,,,583,440.6,,,,,3,2
Monaco,0,0,0,0,0,0,0,0,1,1
Mozambique,,,219,219,,,219,219,3,2
Nauru,0,0,0,0,0,0,0,0,1,1
Netherlands,,,,0.5,,,,0.5,2,2
New Caledonia,0,0,0,0,,,,,1,1
New Zealand,,,12,3,,,12,3,3,3
Nicaragua,,,70,,,,70,,2,2
Norway,3,6,6,8,3,6,6,8,3,3
Peru,177,143,126,165,,,,,2,2
Philippines,47.2,47.2,47,47,,,,,2,2
Poland,0.7,0.5,0.6,0.6,0.7,0.5,0.6,0.6,2,2
Portugal,,,46.4,37,,,,,3,3
Qatar,0,0,0,0,0,0,0,0,1,1
Republic of Korea,,6,6,7,,6,6,7,3,3
Réunion,,,,0.5,,,,0.5,1,1
Russian Federation,0,0,0,0,0,0,0,0,3,3
Saint Pierre and Miquelon,20,20,20,20,,,,,2,1
San Marino,0,0,0,0,0,0,0,0,1,1
Sao Tome and Principe,0,0,0,0,0,0,0,0,2,1
Serbia,0,0,0,0,0,0,0,0,1,1
Slovenia,,0.2,0.1,0.7,,0.2,0.1,0.7,3,3
Spain,,,,5.7,,,,,3,3
Sudan,174.4,174.4,174.4,174.4,174.4,174.4,174.4,174.4,1,1
Suriname,,3.9,3.9,3.9,,3.4,3.4,3.4,2,1
Svalbard and Jan Mayen Islands,0,0,0,0,0,0,0,0,2,2
Sweden,23.9,,,14,23.9,,,14,3,3
Switzerland,0.3,2.3,3.3,4.3,,1,1.3,1.6,3,3
Tokelau,0,0,0,0,0,0,0,0,1,1
Tuvalu,0,0,0,0,0,0,0,0,1,1
United Kingdom,0,0,0,0,0,0,0,0,3,1
United Republic of Tanzania,400,400,400,372,400,400,400,372,3,2
United States Virgin Islands,0.4,0.4,0.1,0.1,0.4,0.4,0.1,0.1,3,3
Uruguay,0,0,0,0,0,0,,0,3,1
Venezuela (Bolivarian Republic of),288,288,288,164.6,288,288,288,164.6,2,2
Viet Nam,,,,3.9,,,,3.9,3,2
Zambia,,,,,250,250,250,287,2,1
Zimbabwe,,,,309,,,,309,2,1
